country,port_name,locode
United Kingdom (UK),Bristol,GBBRS
United Kingdom (UK),Bristol,GBBRS
United Kingdom (UK),Bristol,GBBRS
United Kingdom (UK),Bristol,GBBRS
United Kingdom (UK),Bristol,GBBRS
United Kingdom (UK),Bristol,GBBRS
United Kingdom (UK),Bristol,GBBRS
United Kingdom (UK),Bristol,GBBRS
United Kingdom (UK),Bristol,GBBRS
United Kingdom (UK),Bristol,GBBRS
United Kingdom (UK),Bristol,GBBRS
United Kingdom (UK),Bristol,GBBRS
United Kingdom (UK),Bristol,GBBRS
United Kingdom (UK),Bristol,GBBRS
United Kingdom (UK),Bristol,GBBRS
Belgium,Brugge (Bruges),BEBGS
Belgium,Brugge (Bruges),BEBGS
Belgium,Brugge (Bruges),BEBGS
Belgium,Brugge (Bruges),BEBGS
Belgium,Brugge (Bruges),BEBGS
Belgium,Brugge (Bruges),BEBGS
Belgium,Brugge (Bruges),BEBGS
Belgium,Brugge (Bruges),BEBGS
Belgium,Brugge (Bruges),BEBGS
Belgium,Brugge (Bruges),BEBGS
Belgium,Brugge (Bruges),BEBGS
Belgium,Brugge (Bruges),BEBGS
Belgium,Brugge (Bruges),BEBGS
Belgium,Brugge (Bruges),BEBGS
Belgium,Brugge (Bruges),BEBGS
Belgium,Brugge (Bruges),BEBGS
Belgium,Brugge (Bruges),BEBGS
Belgium,Brugge (Bruges),BEBGS
Belgium,Brugge (Bruges),BEBGS
Belgium,Brugge (Bruges),BEBGS
Norway,Bugoynes,NOBUG
Norway,Bugoynes,NOBUG
Norway,Bugoynes,NOBUG
Norway,Bugoynes,NOBUG
Norway,Bugoynes,NOBUG
Norway,Bugoynes,NOBUG
Norway,Bugoynes,NOBUG
Norway,Bugoynes,NOBUG
Norway,Bugoynes,NOBUG
Norway,Bugoynes,NOBUG
Norway,Bugoynes,NOBUG
Norway,Bugoynes,NOBUG
Norway,Bugoynes,NOBUG
Norway,Bugoynes,NOBUG
Norway,Bugoynes,NOBUG
Norway,Bugoynes,NOBUG
Norway,Bugoynes,NOBUG
Norway,Bugoynes,NOBUG
Norway,Bugoynes,NOBUG
Norway,Bugoynes,NOBUG
United Kingdom (UK),Burnham on Crouch,GBBOC
United Kingdom (UK),Burnham on Crouch,GBBOC
United Kingdom (UK),Burnham on Crouch,GBBOC
United Kingdom (UK),Burnham on Crouch,GBBOC
United Kingdom (UK),Burnham on Crouch,GBBOC
United Kingdom (UK),Burnham on Crouch,GBBOC
United Kingdom (UK),Burnham on Crouch,GBBOC
United Kingdom (UK),Burnham on Crouch,GBBOC
United Kingdom (UK),Burnham on Crouch,GBBOC
United Kingdom (UK),Burnham on Crouch,GBBOC
